id,name,population,scrips_per_head,spend_per_head,drift
00K-A81001,THE DENSHAM SURGERY,3441.0,0.023539668700959023,0.7591543156059284,0.2306425569783461
00K-A81002,QUEENS PARK MEDICAL CENTRE,16741.0,0.004300818350158294,0.25223702287796423,-0.7649206508071899
00K-A81003,THE GALLAGHER PRACTICE,2891.0,0.036665513663092356,1.0168142511241784,0.9098727644555407
00M-A81004,WOODLANDS ROAD SURGERY,6692.0,0.007919904363419009,0.21619844590555887,-0.5776418469849207
00M-A81005,SPRINGWOOD SURGERY,6697.0,0.01791847095714499,0.9013438853217851,-0.06024060679632286
00K-A81006,TENNANT STREET MEDICAL PRACTICE,9842.0,0.014935988620199146,0.5075817923186347,-0.21457673543146893
00K-A81007,BANKHOUSE SURGERY,7634.0,0.02292376211684569,1.0439297877914595,0.1987709054297606
00M-A81008,ALBERT HOUSE CLINIC,3513.0,0.02134927412467976,0.8342129234272703,0.1172950226447334
00M-A81009,VILLAGE MEDICAL CENTRE,7412.0,0.02671343766864544,0.9688774959525094,0.3948772984845386
00K-A81011,CHADWICK PRACTICE,8473.0,0.02454856603328219,1.1076466422754632,0.28285051359630053
00M-A81012,WESTBOURNE MEDICAL CENTRE,3941.0,0.04059883278355747,0.7304136006089825,1.1134123590473481
00M-A81013,BROTTON SURGERY,4393.0,0.033007056681083544,1.365458684270429,0.7205566097923546
00K-A81014,QUEENSTREE PRACTICE,3483.0,0.007464829170255527,0.41641401091013486,-0.6011908694487604
00M-A81015,LAGAN SURGERY,2580.0,0.025193798449612403,0.5792093023255815,0.3162397048658393
00M-A81016,PARK SURGERY,7618.0,0.015883433972171172,0.7772197427146234,-0.16554876771969199
00K-A81017,WOODBRIDGE PRACTICE,15989.0,0.015510663581212083,0.8820645443742571,-0.18483871901219495
00M-A81018,BENTLEY MEDICAL PRACTICE,4380.0,0.01780821917808219,0.9338972602739726,-0.06594586531366738
00M-A81019,CROSSFELL HEALTH CENTRE,7852.0,0.033112582781456956,1.3914225674987262,0.7260173260553968
00M-A81020,MARTONSIDE MEDICAL CENTRE,6416.0,0.016988778054862843,0.6553849750623442,-0.10834992888026626
00M-A81021,NORMANBY MEDICAL CENTRE,10622.0,0.01854641310487667,0.5502843155714554,-0.027746144419392344
00M-A81022,HILLSIDE PRACTICE,8493.0,0.016013187330742966,0.5730860708819029,-0.15883435040653351
00M-A81023,THE ENDEAVOUR PRACTICE,5594.0,0.0021451555237754737,0.1281355023239185,-0.876470902470143
00K-A81025,THE DOVECOT SURGERY,3536.0,0.010746606334841629,0.7428365384615382,-0.4313669692864165
00M-A81026,THE LINTHORPE SURGERY,10928.0,0.01894216691068814,0.6254401537335285,-0.007266857911994508
00K-A81027,YARM MEDICAL PRACTICE,10341.0,0.005802146794313896,0.2948225510105406,-0.6872305947721622
00M-A81029,PROSPECT SURGERY,5384.0,0.015973254086181277,0.4445746656760771,-0.16090079763847348
00M-A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,8722.0,0.005503324925475808,0.2545528548498051,-0.7026938918440964
00K-A81031,HAVELOCK GRANGE PRACTICE,10334.0,0.017321463131410877,0.7823011418618154,-0.09113429406055092
00M-A81032,THE GARTH,8558.0,0.0075952325309651784,0.7136316896471139,-0.5944428161229696
00M-A81033,OAKFIELD MEDICAL PRACTICE,3106.0,0.015132002575660013,0.6426851255634256,-0.20443349512806744
00K-A81034,THORNABY & BARWICK MEDICAL GROUP,15550.0,0.016334405144694534,0.8931369774919607,-0.14221211823442398
00M-A81035,NEWLANDS MEDICAL CENTRE,8851.0,0.017851090272285618,0.7802688961699245,-0.0637273915853418
00K-A81036,NORTON MEDICAL CENTRE,13477.0,0.02901239148178378,1.922577725012983,0.513842506437494
00M-A81037,THE ERIMUS PRACTICE,6111.0,0.03420062182948781,1.4483636066110288,0.7823206718947928
00M-A81038,HIRSEL MEDICAL CENTRE,2606.0,0.01650038372985418,0.42919800460475815,-0.1336231345034722
00K-A81039,EAGLESCLIFFE MEDICAL PRACTICE,6796.0,0.03266627427898764,1.6207430841671564,0.7029219582824562
00K-A81040,MARSH HOUSE MEDICAL PRACTICE,6701.0,0.024324727652589164,0.8816385614087445,0.27126742769226186
00K-A81041,HART MEDICAL PRACTICE,7951.0,0.031191045151553264,1.9049264243491384,0.6265824777237283
00M-A81042,SOUTH GRANGE MEDICAL CENTRE,4717.0,0.027135891456434174,1.0837375450498195,0.41673824341852717
00M-A81043,THE MANOR HOUSE SURGERY,6520.0,0.013957055214723926,0.8714907975460124,-0.26523413250003997
00K-A81044,MCKENZIE HOUSE SURGERY,12291.0,0.030916931087787813,1.0009104222601901,0.6123977488212499
00M-A81045,THE COATHAM ROAD SURGERY,5984.0,0.022225935828877004,1.082227606951872,0.16266011060265376
00K-A81046,WOODLANDS FAMILY MEDICAL CENTRE,10603.0,0.014807130057530888,0.7688342921814583,-0.2212448492564359
00M-A81047,MARSKE MEDICAL CENTRE,5143.0,0.00816643982111608,0.3013766284269883,-0.5648842431456894
00M-A81048,ZETLAND MEDICAL PRACTICE,4349.0,0.0032191308346746377,0.13804552770751896,-0.820895320452232
00M-A81049,KINGS MEDICAL CENTRE,4227.0,0.016087059380175066,0.8135391530636387,-0.15501165345961057
00M-A81051,CAMBRIDGE MEDICAL GROUP,5970.0,0.010217755443886097,1.0726532663316584,-0.4587337027366829
00M-A81052,THE GREEN HOUSE SURGERY,6203.0,0.01821699177817185,0.9130420764146381,-0.044792888208506916
00M-A81053,WOODSIDE SURGERY,5567.0,0.021914855397880368,1.124530267648644,0.1465624630761513
00M-A81054,THE SALTSCAR SURGERY,6604.0,0.022410660205935795,0.9667565112053301,0.17221914297868035
00K-A81056,MELROSE SURGERY,2167.0,0.0023073373327180432,0.07844946931241348,-0.8680783925742175
00K-A81057,KINGSWAY MEDICAL CENTRE,6080.0,0.046052631578947366,2.0651496710526307,1.3956330387840286
00M-A81058,COULBY MEDICAL PRACTICE,5678.0,0.009510390982740402,0.4110919337794999,-0.49533807457652024
00K-A81060,THE KOH PRACTICE,4308.0,0.02692664809656453,1.4104921077065924,0.4059104139608811
00K-A81063,THE HEADLAND MEDICAL CENTRE,4712.0,0.04456706281833616,2.1665046689303917,1.318758507627934
00M-A81064,THE DISCOVERY PRACTICE,5082.0,0.007870916961826053,0.2722983077528532,-0.5801768245839815
00M-A81065,THE ESTON SURGERY,2348.0,0.020442930153321975,0.928172913117547,0.07039395033380477
00K-A81066,PARK LANE SURGERY,3407.0,0.021719988259465806,0.6947020839448197,0.13647856773549677
00K-A81067,ALMA MEDICAL CENTRE,7447.0,0.03880757351953807,2.0234188263730357,1.0207190958665526
00M-A81069,RAINBOW SURGERY,1498.0,0.019359145527369826,0.6317957276368494,0.014310760377672038
00K-A81070,WYNYARD ROAD PRIMARY CARE CENTRE,1260.0,0.04523809523809524,1.060357142857143,1.3534827856467413
00M-A81605,PARK AVENUE SURGERY,1881.0,0.01594896331738437,0.686135034556087,-0.1621577852059255
00K-A81608,ELM TREE SURGERY,1272.0,0.019654088050314465,0.8424685534591196,0.029573310836821593
